Time,MMSI,Latitude_degrees,Longitude_degrees,X_utm,Y_utm,COG_degrees,SOG_knots
2016-01-12 13:02:11.218,235070762,50.7730133333333,-1.092935,634464.9045847943,5626317.403106864,157.8,5.9
2016-01-12 13:02:11.327,235013375,50.7766666666667,-1.10866666666667,633345.3728537575,5626695.117326647,14.7,19.8
2016-01-12 13:02:11.327,235031618,50.7345,-1.213,626103.2948595643,5621823.705941526,221.0,0.2
2016-01-12 13:02:11.327,232002939,50.8028616666667,-1.11242333333333,633006.1601841978,5629600.910446292,175.0,7.3
2016-01-12 13:02:12.201,247005000,50.7616816666667,-1.13859666666667,631277.2998203516,5624975.419684718,288.8,10.4
2016-01-12 13:02:13.074,235069877,50.7891083333333,-1.10927833333333,633266.8710310068,5628077.372537793,338.1,11.2
2016-01-12 13:02:13.184,235013375,50.7768333333333,-1.10866666666667,633344.8987919976,5626713.648562425,14.7,19.8
2016-01-12 13:02:13.402,235061621,50.75745,-1.08103333333333,635348.922233925,5624608.675941461,333.0,20.6
2016-01-12 13:02:13.730,235059574,50.797935,-1.1176,632655.369795217,5629043.82167849,221.0,0.2
2016-01-12 13:02:13.948,227273000,50.7493433333333,-1.08627,635002.9197310003,5623697.7517591175,333.0,18.1
2016-01-12 13:02:14.057,235083854,50.7910866666667,-1.11537333333333,632831.6898451827,5628286.369037898,356.3,2.8
2016-01-12 13:02:14.166,212890000,50.8071566666667,-1.116315,632719.7856021629,5630071.466868117,0.0,0.0
2016-01-12 13:02:14.385,235089392,50.795045,-1.10783166666667,633351.934159975,5628740.065588266,360.0,0.0
2016-01-12 13:02:14.385,235083855,50.7946983333333,-1.10778666666667,633356.0921016316,5628701.601696647,107.1,0.0
2016-01-12 13:02:14.385,235011206,50.770495,-1.11735333333333,632750.4507126738,5625993.275185596,49.5,6.2
2016-01-12 13:02:15.040,232002833,50.805825,-1.10461333333333,633547.9934458232,5629944.480626368,141.3,0.1
2016-01-12 13:02:15.368,235013375,50.7771666666667,-1.1085,633355.7002494277,5626751.011625595,16.2,20.1
2016-01-12 13:02:15.804,235072757,50.7785,-1.09933333333333,633998.1157633096,5626915.83464746,141.0,8.7
2016-01-12 13:02:15.914,235061621,50.7578,-1.08126666666667,635331.4562652127,5624647.164306171,334.0,20.5
2016-01-12 13:02:16.132,235028911,50.7978983333333,-1.11863666666667,632582.4234755987,5629037.884822662,332.7,0.0
2016-01-12 13:02:16.460,235010000,50.7947166666667,-1.10864666666667,633295.4347772519,5628702.088985428,0.0,0.0
2016-01-12 13:02:16.678,235024149,50.7949783333333,-1.11596833333333,632778.727087227,5628718.005862447,230.5,0.0
2016-01-12 13:02:16.787,235004036,50.7911683333333,-1.116445,632755.9310200422,5628293.524257183,342.4,0.0
2016-01-12 13:02:17.115,235013375,50.7773333333333,-1.1085,633355.2261424579,5626769.542862442,16.2,20.1
2016-01-12 13:02:17.333,235086588,50.79196,-1.10552333333333,633523.3953571153,5628401.218496495,360.0,0.0
2016-01-12 13:02:17.442,235070763,50.8026666666667,-1.11283333333333,632977.8256847513,5629578.491068548,170.0,4.1
2016-01-12 13:02:17.552,235061621,50.7578,-1.08126666666667,635331.4562652127,5624647.164306171,334.0,20.5
2016-01-12 13:02:17.552,235069875,50.79593,-1.10910333333333,633259.8016807011,5628836.173386617,5.7,0.0
2016-01-12 13:02:17.552,235051664,50.8072766666667,-1.11626166666667,632723.2029630897,5630084.905208434,360.0,0.0
2016-01-12 13:02:18.644,235069877,50.7894033333333,-1.10945333333333,633253.6982198828,5628109.857428888,339.2,11.3
2016-01-12 13:02:18.862,235066825,50.8005,-1.11033333333333,633160.1331413162,5629342.084918229,295.0,0.0
2016-01-12 13:02:18.862,235109129,50.7982916666667,-1.12216,632333.0357077133,5629075.304919407,230.5,0.0
2016-01-12 13:02:19.190,235013375,50.7775,-1.10833333333333,633366.5015348933,5626788.374715732,12.9,20.2
2016-01-12 13:02:19.517,236112059,50.7085466666667,-1.04557166666667,637993.571493909,5619236.814830631,290.3,0.6
2016-01-12 13:02:19.626,227273000,50.7497916666667,-1.08662666666667,634976.4711665818,5623746.949525334,333.0,18.1
2016-01-12 13:02:19.845,235031617,50.7743333333333,-1.11633333333333,632811.4957907168,5626421.881297548,238.0,9.7
2016-01-12 13:02:19.954,245188000,50.8141,-1.09233333333333,634389.420280072,5630886.820819647,117.5,0.1
2016-01-12 13:02:20.172,372926000,50.6471,-1.00733333333333,640877.0829025216,5612476.898726007,202.0,0.0
2016-01-12 13:02:20.500,311855000,50.7313166666667,-1.05368333333333,637354.2904041989,5621753.420762722,292.0,10.0
2016-01-12 13:02:20.937,235014661,50.7911666666667,-1.11433333333333,632904.7586050065,5628297.133333273,105.0,0.0
2016-01-12 13:02:21.264,235070762,50.77275,-1.09275333333333,634478.4680246043,5626288.454206438,158.9,5.9
2016-01-12 13:02:21.264,235013375,50.7776666666667,-1.10833333333333,633366.0273838509,5626806.905953183,12.2,20.0
2016-01-12 13:02:21.592,235061621,50.7583166666667,-1.08171666666667,635298.2292337288,5624703.787455768,332.0,20.7
2016-01-12 13:02:21.810,538003523,50.57672,-1.04087666666667,638712.698865642,5604588.529288009,171.8,0.3
2016-01-12 13:02:22.684,247005000,50.7618533333333,-1.13939333333333,631220.6378089838,5624993.093018087,288.8,10.5
2016-01-12 13:02:22.684,235031618,50.7345,-1.213,626103.2948595643,5621823.705941526,212.0,0.2
2016-01-12 13:02:22.793,235074416,50.807185,-1.10388166666667,633595.6627413565,5630097.018465804,145.0,0.0
